id,TRANSNR,LOTNT,MARKS,MARKS2,REF,REF2,BAGMARK,GRADE_GR,BAGSNR,WEIGHT_Kgr,SALENO,BAGSBOUGHTNR,WEIGHTBOUGHT_Kgr,BUYERCODE,PRICE,SEATNR,AUCTCODE,STATUS,ISODATE,SEASON,VALUE
,1,2701,42MU0008/KUIRI/XBB072F02,42MU0008/KUIRI/XBB072F02/,XBB72F02,XBB072F02,42MU0008,C,12,743,30,12,743,78,171,78,25,2,2017-09-05,2016-2017,2541.06
,2,2702,43MU0020/NTONGORO-FCS/XBB0042F01,43MU0020/NTONGORO-FCS/XBB0042F01/,XBB42F01,XBB0042F01,43MU0020,C,23,1402,30,23,1402,78,193,78,25,2,2017-09-05,2016-2017,5411.72
,3,2703,44MU0001/NDULUMA/XBA038F01,44MU0001/NDULUMA/XBA038F01/,XBA38F01,XBA038F01,44MU0001,C,34,2087,30,34,2087,39,180,39,25,2,2017-09-05,2016-2017,7513.2
,4,2704,44MU0006/MBARANGA/XBA038,44MU0006/MBARANGA/XBA038/,XBA38,XBA038,44MU0006,C,40,2458,30,40,2458,78,150,78,25,2,2017-09-05,2016-2017,7374
,5,2705,44MU0017/KALITHIRIA FCS/XBA033,44MU0017/KALITHIRIAFCS/XBA033/,XBA33,XBA033,44MU0017,C,27,1676,30,27,1676,47,174,47,25,2,2017-09-05,2016-2017,5832.48
