TRANSNR;LOTNT;MARKS;MARKS2;REF;REF2;BAGMARK;GRADE-GR;BAGSNR;WEIGHT-Kgr;SALENO;BAGSBOUGHTNR;WEIGHTBOUGHT-Kgr;BUYERCODE;PRICE;SEATNR;AUCTCODE;STATUS;ISODATE;SEASON;VALUE
309;1627;47SS2012/DOONDU/AA.0015;47SS2012/DOONDU/AA0015/;AA0015;AA0015;47SS2012;AA;47;2862;30;47;2862;237;383;13;17;1;05-Sep-17;2016-2017;21922.92
310;1628;47SS2011/KAMUNDU/AI.0005;47SS2011/KAMUNDU/AI0005/;AI0005;AI0005;47SS2011;AA;22;1371;30;22;1371;237;397;13;17;1;05-Sep-17;2016-2017;10885.74
311;1629;47SS2010/GULMARG/AA.0035;47SS2010/GULMARG/AA0035/;AA0035;AA0035;47SS2010;AA;32;1946;30;32;1946;237;396;13;17;1;05-Sep-17;2016-2017;15412.32
312;1630;47SS2009/MWEIGA/AG.0014;47SS2009/MWEIGA/AG0014/;AG0014;AG0014;47SS2009;AA;13;787;30;13;787;78;393;78;17;1;05-Sep-17;2016-2017;6185.82
313;1631;47SS2008/GULMARG/AA.0035;47SS2008/GULMARG/AA0035/;AA0035;AA0035;47SS2008;AA;25;1564;30;25;1564;237;384;13;17;1;05-Sep-17;2016-2017;12011.52
314;1632;47SS2007/DOONDU/AA.0015;47SS2007/DOONDU/AA0015/;AA0015;AA0015;47SS2007;AA;35;2166;30;35;2166;118;394;16;17;1;05-Sep-17;2016-2017;17068.08
315;1633;47SS2006/TINGANGA/AI.0002;47SS2006/TINGANGA/AI0002/;AI0002;AI0002;47SS2006;AA;18;1096;30;18;1096;118;390;16;17;2;05-Sep-17;2016-2017;8548.8
316;1634;47SS2005/KAMUNDU/AI.0005;47SS2005/KAMUNDU/AI0005/;AI0005;AI0005;47SS2005;AA;24;1460;30;24;1460;62;382;62;17;2;05-Sep-17;2016-2017;11154.4
317;1635;46SS1006/GATHIRUINI/XAA03F02;46SS1006/GATHIRUINI/XAA03F02/;XAA03F02;XAA03F02;46SS1006;AA;5;356;30;5;356;221;386;49;17;1;05-Sep-17;2016-2017;2748.32
318;1636;46SS1005/KANAKE/XAA03F11;46SS1005/KANAKE/XAA03F11/;XAA03F11;XAA03F11;46SS1005;AA;4;286;30;4;286;78;389;78;17;1;05-Sep-17;2016-2017;2225.08
319;1637;46SS1004/P/BULK;46SS1004/P/BULK/;BULK;BULK;46SS1004;UG2;38;2318;30;38;2318;237;75;13;17;2;05-Sep-17;2016-2017;3477
320;1638;44LE0086/UTOONI/XBE06F05;44LE0086/UTOONI/XBE06F05/;XBE06F05;XBE06F05;44LE0086;UG2;13;673;30;13;673;237;91;13;17;2;05-Sep-17;2016-2017;1224.86
